exact_match,token_f1,rouge_l_f1,source_hit,source_precision,source_recall,source_mrr,category,count,avg_latency_sec
0.0,0.30719190277507574,0.23180889524190196,1.0,0.8055555555555555,0.8333333333333334,1.0,cross_paper_comparison,6,11.962116666666667
0.0,0.42644913516526384,0.3595023936339818,1.0,0.9375,1.0,1.0,definition_explanation,8,11.5969
0.1,0.6921890645586297,0.6639314888010539,1.0,0.7666666666666666,1.0,1.0,direct_fact_lookup,10,5.71156
0.0,0.4395174205002244,0.34565543811423916,1.0,0.9166666666666666,0.7555555555555555,1.0,distractor_edge_case,6,12.049149999999997
0.0,0.47890100874255803,0.41808183172619795,1.0,0.8125,1.0,1.0,figure_table_diagram_grounded,8,7.0196375
0.0,0.3558161981923592,0.24866618637258472,1.0,0.875,1.0,1.0,intra_paper_comparison,8,11.6357125
0.0,0.3347199895378069,0.2405949367206396,1.0,0.8541666666666666,1.0,1.0,multi_chunk_synthesis,8,9.384475
0.0,0.33713322793417655,0.21446821996852597,1.0,0.8888888888888888,1.0,1.0,paraphrase_hard_retrieval,6,11.467716666666668
