episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
50,Q061,0.4969,4,3,accepted,1,1.0,26.517,1139,200,69,0.002531,-0.567785,nan,-0.5468,-0.301953,-0.625312,True
51,Q041,0.6157,4,3,accepted,1,1.0,28.852,1032,204,71,0.005413,-0.549403,nan,-0.534258,-0.365851,-0.650359,True
52,Q064,0.5756,4,3,accepted,1,1.0,26.538,1100,208,73,0.005155,-0.498514,nan,-0.540758,-0.351765,-0.637716,True
53,Q071,0.5196,4,3,accepted,1,1.0,29.416,1238,212,75,0.002803,-0.536529,nan,-0.534559,-0.359371,-0.671491,True
54,Q081,0.4642,4,3,accepted,1,1.0,24.588,1999,216,77,0.003808,-0.523732,nan,-0.574094,-0.39108,-0.648729,True
55,Q041,0.58,4,3,accepted,1,1.0,24.642,1011,220,79,0.00336,-0.521349,nan,-0.531512,-0.372733,-0.626409,True
56,Q057,0.1694,4,3,accepted,1,1.0,23.809,2409,224,81,0.003391,-0.584186,nan,-0.637588,-0.389916,-0.683256,True
57,Q081,0.4919,4,3,accepted,1,1.0,23.691,1685,228,83,0.004227,-0.513053,nan,-0.590717,-0.360221,-0.606801,True
58,Q083,0.5321,4,3,accepted,1,1.0,43.138,1930,232,85,0.004104,-0.517997,nan,-0.57434,-0.380661,-0.580526,True
59,Q041,0.5798,4,3,accepted,1,1.0,25.105,1011,236,87,0.002926,-0.568224,nan,-0.656526,-0.419054,-0.63958,True
60,Q075,0.2794,4,3,accepted,1,1.0,32.446,2809,240,89,0.003307,-0.529052,nan,-0.59476,-0.385931,-0.638863,True
61,Q070,0.5324,4,3,accepted,1,1.0,6.734,823,244,91,0.003293,-0.463845,nan,-0.535226,-0.403153,-0.612674,True
62,Q079,0.3845,4,3,accepted,1,1.0,21.245,738,248,93,0.003932,-0.534064,nan,-0.583503,-0.455117,-0.683892,True
63,Q067,0.4417,4,3,accepted,1,1.0,23.818,1191,252,95,0.004895,-0.519481,nan,-0.571637,-0.387289,-0.599131,True
64,Q026,0.2071,4,3,accepted,1,0.6667,37.492,2647,256,97,0.003342,-0.535784,nan,-0.562293,-0.405342,-0.562361,True
65,Q024,0.4125,4,3,accepted,1,1.0,58.414,3180,260,99,0.002362,-0.55851,nan,-0.571243,-0.423967,-0.618971,True
66,Q048,0.4117,4,3,accepted,1,1.0,38.598,2311,264,101,0.002247,-0.525369,nan,-0.530533,-0.390215,-0.614733,True
67,Q061,0.5503,4,3,accepted,1,1.0,30.185,1968,268,103,0.005106,-0.536641,nan,-0.532755,-0.399712,-0.576176,True
68,Q066,0.4585,4,3,accepted,1,1.0,31.348,2069,272,105,0.003865,-0.585152,nan,-0.592188,-0.420777,-0.611577,True
69,Q024,0.4148,4,3,accepted,1,1.0,52.815,2887,276,107,0.00361,-0.576378,nan,-0.569532,-0.417296,-0.600867,True
70,Q006,0.4559,4,3,accepted,1,1.0,7.275,1558,280,109,0.002329,-0.538617,nan,-0.466643,-0.399048,-0.601809,True
71,Q027,0.4955,4,3,accepted,1,1.0,27.746,2189,284,111,0.003207,-0.59067,nan,-0.559402,-0.41261,-0.619629,True
72,Q009,0.5385,4,3,accepted,1,1.0,29.695,2080,288,113,0.00488,-0.580029,nan,-0.540715,-0.417289,-0.630264,True
73,Q070,0.5321,4,3,accepted,1,1.0,7.306,1329,292,115,0.001869,-0.552391,nan,-0.521831,-0.385504,-0.561952,True
74,Q080,-1.0936,12,4,timeout,0,0.0,8.671,2124,304,121,0.005849,-0.575654,nan,-0.520951,-0.358123,-0.541873,True
75,Q023,0.4928,4,3,accepted,1,1.0,32.982,2133,308,123,0.004505,-0.61984,nan,-0.544446,-0.435476,-0.641428,True
76,Q037,0.4528,4,3,accepted,1,1.0,8.439,2098,312,125,0.004333,-0.629183,nan,-0.536001,-0.419276,-0.592258,True
77,Q010,0.2085,4,3,accepted,1,0.6667,29.64,2437,316,127,0.005992,-0.584528,nan,-0.512484,-0.366401,-0.541393,True
78,Q051,0.4699,4,3,accepted,1,1.0,9.353,1595,320,129,0.014768,-0.642174,nan,-0.498517,-0.436829,-0.632801,True
79,Q069,0.5291,4,3,accepted,1,1.0,23.948,2001,324,131,0.006831,-0.592088,nan,-0.463473,-0.387231,-0.626222,True
80,Q009,0.5407,4,3,accepted,1,1.0,24.252,2330,328,133,0.007398,-0.598728,nan,-0.470264,-0.420647,-0.64195,True
81,Q030,0.6163,4,3,accepted,1,1.0,10.487,2226,332,135,0.004981,-0.623335,nan,-0.524079,-0.464769,-0.628972,True
82,Q019,0.4112,4,3,accepted,1,1.0,30.519,3005,336,137,0.005234,-0.589151,nan,-0.534705,-0.405141,-0.587749,True
