episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
50,Q031,0.3556,4,3,accepted,1,0.75,25.487,1184,200,69,0.0036,-0.556477,nan,-0.639182,-0.336341,-0.620759,True
51,Q021,0.4431,4,3,accepted,1,1.0,15.587,748,204,71,0.00394,-0.542536,nan,-0.584255,-0.348752,-0.648438,True
52,Q032,0.3462,4,3,accepted,1,1.0,31.075,1598,208,73,0.004742,-0.484083,nan,-0.526126,-0.297473,-0.596714,True
53,Q036,0.3707,4,3,accepted,1,1.0,18.427,894,212,75,0.006051,-0.526375,nan,-0.605338,-0.37484,-0.645245,True
54,Q014,0.2405,4,3,accepted,1,0.6667,24.355,1036,216,77,0.005143,-0.519805,nan,-0.527232,-0.373654,-0.646729,True
55,Q021,0.4505,4,3,accepted,1,1.0,16.303,743,220,79,0.003477,-0.50138,nan,-0.472759,-0.313465,-0.645893,True
56,Q029,0.4356,4,3,accepted,1,1.0,22.517,1154,224,81,0.002421,-0.546731,nan,-0.516563,-0.322767,-0.64625,True
57,Q002,0.6588,4,3,accepted,1,1.0,20.06,1109,228,83,0.005707,-0.533409,nan,-0.544763,-0.36618,-0.601503,True
58,Q002,0.6607,4,2,accepted,1,1.0,15.351,380,232,85,0.003243,-0.514572,nan,-0.523782,-0.338992,-0.550554,True
59,Q027,0.4572,4,3,accepted,1,1.0,22.013,1266,236,87,0.00358,-0.529822,nan,-0.574795,-0.39833,-0.643516,True
60,Q023,0.4866,4,3,accepted,1,1.0,23.765,1410,240,89,0.004933,-0.524116,nan,-0.498305,-0.352553,-0.632755,True
61,Q003,0.1874,4,3,accepted,1,0.5,20.304,850,244,91,0.002819,-0.494899,nan,-0.482261,-0.334127,-0.619711,True
