episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
50,Q061,0.6015,4,3,accepted,1,1.0,28.456,1979,200,69,0.002842,-0.64142,nan,-0.584599,-0.342988,-0.727802,True
51,Q041,0.5967,4,3,accepted,1,1.0,32.699,1537,204,71,0.003737,-0.648484,nan,-0.581242,-0.38535,-0.73547,True
52,Q064,0.6818,4,3,accepted,1,1.0,31.472,2201,208,73,0.00527,-0.586862,nan,-0.6032,-0.380783,-0.723891,True
53,Q071,0.5513,4,3,accepted,1,1.0,39.609,1650,212,75,0.001927,-0.61425,nan,-0.603144,-0.390827,-0.775966,True
54,Q081,0.5368,4,3,accepted,1,1.0,32.554,2124,216,77,0.003833,-0.550061,nan,-0.620061,-0.390821,-0.744876,True
55,Q041,0.6705,4,3,accepted,1,1.0,29.283,2506,220,79,0.002978,-0.559787,nan,-0.597105,-0.378121,-0.731066,True
56,Q057,0.2364,4,3,accepted,1,1.0,28.222,2273,224,81,0.002365,-0.586052,nan,-0.692088,-0.4234,-0.776858,True
57,Q081,0.5701,4,3,accepted,1,1.0,9.108,2643,228,83,0.003752,-0.53174,nan,-0.635894,-0.365001,-0.701455,True
58,Q083,0.452,4,3,accepted,1,0.75,56.771,2258,232,85,0.003241,-0.586294,nan,-0.623537,-0.395733,-0.684062,True
59,Q041,0.647,4,3,accepted,1,1.0,34.817,1829,236,87,0.004373,-0.609737,nan,-0.67139,-0.430552,-0.740577,True
60,Q075,0.3866,4,3,accepted,1,1.0,37.495,2805,240,89,0.003136,-0.597231,nan,-0.61896,-0.425485,-0.748195,True
61,Q070,0.5576,4,3,accepted,1,1.0,6.062,1329,244,91,0.003276,-0.511813,nan,-0.559337,-0.440291,-0.725879,True
62,Q079,0.4551,4,3,accepted,1,1.0,22.451,1373,248,93,0.003684,-0.580048,nan,-0.591665,-0.477121,-0.787994,True
63,Q067,0.5701,4,3,accepted,1,1.0,28.668,1757,252,95,0.003901,-0.564243,nan,-0.58229,-0.43062,-0.739042,True
64,Q026,0.3345,4,3,accepted,1,0.7143,42.313,3338,256,97,0.003493,-0.57751,nan,-0.592929,-0.424537,-0.675198,True
65,Q024,0.4766,4,3,accepted,1,1.0,56.966,3180,260,99,0.002694,-0.608964,nan,-0.602325,-0.447947,-0.701658,True
66,Q048,0.5083,4,3,accepted,1,1.0,38.51,2664,264,101,0.002649,-0.581459,nan,-0.576538,-0.436966,-0.708868,True
67,Q061,0.6141,4,3,accepted,1,1.0,29.015,1968,268,103,0.003559,-0.577899,nan,-0.559733,-0.436553,-0.676134,True
68,Q066,0.4516,4,3,accepted,1,0.5,34.318,2946,272,105,0.004097,-0.60138,nan,-0.588994,-0.453128,-0.693273,True
69,Q024,0.488,4,3,accepted,1,1.0,58.719,3178,276,107,0.004218,-0.609762,nan,-0.592845,-0.464045,-0.709803,True
70,Q006,0.5151,4,2,accepted,1,1.0,8.198,1181,280,109,0.002055,-0.558335,nan,-0.503393,-0.444981,-0.681091,True
71,Q027,0.4698,4,3,accepted,1,1.0,33.943,2998,284,111,0.002636,-0.61747,nan,-0.591957,-0.484222,-0.701464,True
72,Q009,0.5532,4,3,accepted,1,1.0,31.843,3213,288,113,0.006252,-0.607098,nan,-0.581633,-0.454237,-0.728276,True
73,Q070,0.5677,4,2,accepted,1,1.0,8.14,1409,292,115,0.00281,-0.55719,nan,-0.535092,-0.428101,-0.651911,True
74,Q080,0.7064,4,2,accepted,1,1.0,3.636,1537,296,117,0.002691,-0.640369,nan,-0.612841,-0.491006,-0.74309,True
75,Q064,0.5603,4,2,accepted,1,1.0,29.662,2394,300,119,0.003467,-0.581282,nan,-0.576157,-0.478215,-0.707908,True
76,Q059,0.292,4,2,accepted,1,0.5,4.664,1884,304,121,0.003773,-0.579379,nan,-0.549187,-0.445784,-0.633932,True
77,Q036,0.5468,4,2,accepted,1,1.0,33.481,918,308,123,0.003714,-0.626584,nan,-0.60277,-0.488426,-0.709894,True
78,Q012,0.4646,4,3,accepted,1,0.6667,58.241,4712,312,125,0.003398,-0.603258,nan,-0.564854,-0.473333,-0.678834,True
79,Q057,0.2928,4,3,accepted,1,1.0,28.396,3200,316,127,0.004888,-0.610999,nan,-0.57343,-0.469058,-0.664105,True
80,Q026,0.3434,4,3,accepted,1,0.6667,38.663,3291,320,129,0.003317,-0.643409,nan,-0.582792,-0.525685,-0.705607,True
81,Q041,0.5974,4,3,accepted,1,1.0,31.06,2927,324,131,0.002171,-0.599829,nan,-0.524271,-0.473325,-0.683168,True
82,Q012,0.4528,4,3,accepted,1,0.6667,52.92,4744,328,133,0.002437,-0.626227,nan,-0.531609,-0.479704,-0.713219,True
83,Q016,0.6697,4,2,accepted,1,1.0,21.05,2250,332,135,0.004366,-0.643778,nan,-0.536954,-0.508989,-0.705412,True
84,Q024,0.4795,4,3,accepted,1,1.0,46.409,3854,336,137,0.003369,-0.622208,nan,-0.534181,-0.457838,-0.690508,True
85,Q080,0.4392,4,2,accepted,1,1.0,21.012,313,340,139,0.002384,-0.592812,nan,-0.526225,-0.473731,-0.667247,True
86,Q021,0.5457,4,3,accepted,1,1.0,47.727,4257,344,141,0.002698,-0.638435,nan,-0.547994,-0.511876,-0.720595,True
87,Q026,0.4568,4,3,accepted,1,0.75,30.709,3269,348,143,0.002151,-0.648567,nan,-0.559013,-0.483044,-0.727173,True
88,Q045,0.578,4,3,accepted,1,0.8,31.824,4160,352,145,0.002061,-0.620257,nan,-0.536891,-0.483634,-0.706479,True
89,Q030,0.6957,4,2,accepted,1,1.0,32.401,1810,356,147,0.003871,-0.63951,nan,-0.542761,-0.477271,-0.704025,True
90,Q073,0.5801,4,3,accepted,1,1.0,48.652,3270,360,149,0.003098,-0.629531,nan,-0.525645,-0.491605,-0.715957,True
91,Q043,0.6372,4,3,accepted,1,1.0,37.475,3974,364,151,0.001789,-0.631944,nan,-0.526446,-0.471687,-0.68366,True
92,Q040,0.3974,4,3,accepted,1,0.75,37.24,3635,368,153,0.003139,-0.624003,nan,-0.563079,-0.514393,-0.654434,True
93,Q033,0.685,4,2,accepted,1,1.0,29.447,2153,372,155,0.002182,-0.649338,nan,-0.565158,-0.539922,-0.716294,True
94,Q065,0.6328,4,2,accepted,1,1.0,8.542,3416,376,157,0.002776,-0.573617,nan,-0.501529,-0.495449,-0.712119,True
95,Q085,0.5573,4,2,accepted,1,1.0,2.85,380,380,159,0.004617,-0.603213,nan,-0.508618,-0.520035,-0.729139,True
96,Q043,0.6157,4,3,accepted,1,1.0,37.782,3677,384,161,0.002524,-0.616955,nan,-0.501816,-0.508182,-0.726812,True
97,Q025,0.3377,4,2,accepted,1,0.6667,8.328,3383,388,163,0.002671,-0.603129,nan,-0.527198,-0.509657,-0.713323,True
98,Q008,0.441,4,2,accepted,1,1.0,4.904,326,392,165,0.002124,-0.592142,nan,-0.52733,-0.521216,-0.715358,True
99,Q074,0.3591,7,4,accepted,1,1.0,14.818,7047,399,168,0.003129,-0.561403,nan,-0.526235,-0.554917,-0.705762,True
100,Q015,0.4812,4,2,accepted,1,1.0,6.117,3429,403,170,0.002356,-0.568315,nan,-0.533453,-0.561923,-0.750182,True
101,Q025,-0.5449,10,6,rejected,0,0.75,24.208,10314,413,175,0.002472,-0.595251,nan,-0.491768,-0.549228,-0.729625,True
102,Q014,0.5582,4,2,accepted,1,1.0,7.568,3177,417,177,0.003077,-0.599594,nan,-0.511285,-0.57018,-0.681539,True
103,Q054,-0.0196,4,3,accepted,1,0.5,30.998,1438,421,179,0.002087,-0.576437,nan,-0.478779,-0.537877,-0.687417,True
104,Q012,0.4885,4,3,accepted,1,0.6667,54.608,2095,425,181,0.002871,-0.568473,nan,-0.530385,-0.607046,-0.719831,True
105,Q064,0.5475,4,2,accepted,1,1.0,10.093,3633,429,183,0.002489,-0.541396,nan,-0.517459,-0.533138,-0.696774,True
106,Q020,0.1475,4,3,accepted,1,0.6,25.938,2170,433,185,0.001881,-0.565372,nan,-0.5245,-0.565968,-0.719139,True
107,Q065,0.6492,4,2,accepted,1,1.0,7.125,3482,437,187,0.004321,-0.560959,nan,-0.479577,-0.555608,-0.654144,True
108,Q060,0.3435,4,2,accepted,1,0.75,5.439,3710,441,189,0.00358,-0.577391,nan,-0.481239,-0.560932,-0.676797,True
109,Q017,0.4235,4,2,accepted,1,0.75,9.396,3871,445,191,0.008167,-0.574259,nan,-0.457781,-0.557307,-0.629996,True
110,Q048,0.5584,4,3,accepted,1,1.0,26.361,2534,449,193,0.003663,-0.577434,nan,-0.509499,-0.579679,-0.69776,True
111,Q023,0.5823,4,3,accepted,1,1.0,28.073,2768,453,195,0.002566,-0.540057,nan,-0.477342,-0.524619,-0.675511,True
112,Q028,0.2545,4,2,accepted,1,0.5,3.491,3065,457,197,0.003323,-0.568498,nan,-0.499685,-0.569784,-0.674174,True
113,Q079,0.4683,4,2,accepted,1,1.0,5.409,2504,461,199,0.002931,-0.588042,nan,-0.514431,-0.588828,-0.750344,True
114,Q020,0.2919,4,2,accepted,1,0.8,26.366,1423,465,201,0.002182,-0.541728,nan,-0.469649,-0.502432,-0.691041,True
115,Q045,0.3859,4,3,accepted,1,0.75,22.742,2899,469,203,0.004294,-0.550262,nan,-0.501801,-0.534796,-0.669961,True
116,Q020,0.2441,4,2,accepted,1,0.8,24.845,685,473,205,0.003957,-0.56006,nan,-0.503082,-0.552317,-0.649204,True
117,Q007,0.643,4,2,accepted,1,1.0,3.518,239,477,207,0.00298,-0.544312,nan,-0.501966,-0.552751,-0.624863,True
118,Q068,0.6152,4,3,accepted,1,1.0,28.904,3816,481,209,0.003718,-0.567389,nan,-0.523517,-0.592485,-0.684322,True
119,Q047,0.6436,4,2,accepted,1,1.0,4.463,3882,485,211,0.007229,-0.524756,nan,-0.472183,-0.51992,-0.676563,True
120,Q062,0.5747,4,2,accepted,1,1.0,19.067,1712,489,213,0.003448,-0.529554,nan,-0.48953,-0.573248,-0.658733,True
121,Q014,0.5925,4,2,accepted,1,1.0,7.619,3380,493,215,0.003627,-0.544195,nan,-0.51869,-0.573555,-0.686711,True
122,Q088,0.6247,4,3,accepted,1,1.0,26.78,2640,497,217,0.003094,-0.493997,nan,-0.47394,-0.550748,-0.648287,True
123,Q084,0.6422,4,2,accepted,1,1.0,3.803,2876,501,219,0.002343,-0.559834,nan,-0.518475,-0.583926,-0.675668,True
124,Q081,0.5559,4,3,accepted,1,1.0,25.852,3603,505,221,0.004104,-0.555276,nan,-0.499023,-0.566265,-0.662677,True
125,Q045,0.3906,4,3,accepted,1,0.75,24.833,2837,509,223,0.002458,-0.513976,nan,-0.46199,-0.535156,-0.628215,True
126,Q024,0.4826,4,3,accepted,1,1.0,44.13,3847,513,225,0.002583,-0.560789,nan,-0.531967,-0.59787,-0.705343,True
127,Q005,0.614,4,2,accepted,1,1.0,5.433,2797,517,227,0.00898,-0.531742,nan,-0.467131,-0.550083,-0.644195,True
128,Q061,0.6727,4,3,accepted,1,1.0,26.551,3737,521,229,0.006212,-0.543437,nan,-0.437507,-0.52891,-0.656239,True
129,Q023,0.573,4,3,accepted,1,1.0,27.382,3161,525,231,0.003963,-0.605584,nan,-0.512191,-0.586829,-0.737617,True
130,Q077,0.3485,4,3,accepted,1,0.6667,26.09,4475,529,233,0.007127,-0.546939,nan,-0.472834,-0.549012,-0.687396,True
131,Q069,0.5235,4,3,accepted,1,1.0,25.822,2680,533,235,0.006019,-0.518127,nan,-0.47075,-0.505535,-0.652702,True
132,Q038,0.5589,4,2,accepted,1,1.0,10.143,721,537,237,0.002165,-0.527333,nan,-0.510394,-0.558281,-0.691913,True
133,Q083,0.4509,4,3,accepted,1,0.75,57.04,3343,541,239,0.002642,-0.537924,nan,-0.529242,-0.56264,-0.693535,True
134,Q053,0.4113,7,4,accepted,1,1.0,14.093,7275,548,243,0.003172,-0.531115,nan,-0.447511,-0.594035,-0.709853,True
135,Q047,0.2408,7,4,accepted,1,1.0,14.294,8364,555,246,0.003982,-0.552463,nan,-0.445376,-0.548116,-0.671099,True
136,Q082,0.1584,4,3,accepted,1,0.25,28.44,3570,559,248,0.002038,-0.557314,nan,-0.462531,-0.553194,-0.722342,True
137,Q036,-0.3304,10,6,rejected,0,0.8,25.892,11737,569,253,0.005269,-0.548451,nan,-0.462318,-0.551202,-0.68861,True
138,Q027,0.4689,4,3,accepted,1,1.0,27.114,3109,573,255,0.006978,-0.504626,nan,-0.456347,-0.552513,-0.645037,True
139,Q003,0.4361,4,3,accepted,1,0.8,25.461,3752,577,257,0.00441,-0.512646,nan,-0.435884,-0.530634,-0.693007,True
140,Q085,0.6202,4,2,accepted,1,1.0,3.894,3409,581,259,0.003063,-0.574749,nan,-0.464041,-0.597592,-0.71989,True
141,Q064,0.5334,4,2,accepted,1,1.0,7.44,4093,585,261,0.005763,-0.538056,nan,-0.414735,-0.544958,-0.611632,True
