episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
50,Q061,0.5937,4,3,accepted,1,1.0,24.662,1971,200,69,0.003784,-0.643403,nan,-0.575819,-0.323359,-0.738339,True
51,Q041,0.6515,4,3,accepted,1,1.0,24.024,1829,204,71,0.004981,-0.640534,nan,-0.588774,-0.368471,-0.743147,True
52,Q064,0.6863,4,3,accepted,1,1.0,20.708,2201,208,73,0.005287,-0.568936,nan,-0.629125,-0.381334,-0.749941,True
53,Q071,0.5733,4,3,accepted,1,1.0,10.039,1727,212,75,0.001709,-0.592521,nan,-0.617812,-0.371756,-0.760079,True
54,Q081,0.5594,4,3,accepted,1,1.0,7.441,2265,216,77,0.003203,-0.536989,nan,-0.6356,-0.376663,-0.732607,True
55,Q041,0.6727,4,3,accepted,1,1.0,23.988,2506,220,79,0.003431,-0.559102,nan,-0.617876,-0.37058,-0.725886,True
56,Q057,0.243,4,3,accepted,1,0.6667,7.695,2402,224,81,0.002035,-0.580829,nan,-0.658293,-0.405365,-0.765862,True
57,Q081,0.5836,4,3,accepted,1,1.0,7.458,2629,228,83,0.00401,-0.545639,nan,-0.609621,-0.352646,-0.68962,True
58,Q083,0.4463,4,3,accepted,1,0.75,45.593,2260,232,85,0.003104,-0.603527,nan,-0.613752,-0.419786,-0.690739,True
59,Q041,0.6516,4,3,accepted,1,1.0,23.719,1829,236,87,0.003574,-0.605605,nan,-0.645701,-0.43362,-0.713409,True
60,Q075,0.3925,4,3,accepted,1,1.0,27.46,3067,240,89,0.002801,-0.598908,nan,-0.614407,-0.417952,-0.738482,True
61,Q070,0.4364,4,2,accepted,1,0.6667,13.203,795,244,91,0.002296,-0.534684,nan,-0.584949,-0.459144,-0.716939,True
62,Q079,0.4734,4,3,accepted,1,1.0,34.214,1419,248,93,0.0038,-0.609398,nan,-0.627498,-0.483432,-0.781196,True
63,Q067,0.6669,4,2,accepted,1,1.0,21.999,1323,252,95,0.003192,-0.610672,nan,-0.610714,-0.436294,-0.72649,True
64,Q026,0.4843,4,3,accepted,1,0.75,32.481,3298,256,97,0.002533,-0.614864,nan,-0.617211,-0.463782,-0.677763,True
65,Q024,0.3713,4,3,accepted,1,0.6667,44.871,3774,260,99,0.004139,-0.64478,nan,-0.615349,-0.458825,-0.696015,True
66,Q048,0.6494,4,3,accepted,1,1.0,31.305,4874,264,101,0.002546,-0.639794,nan,-0.596259,-0.453573,-0.734718,True
67,Q061,0.6542,4,3,accepted,1,1.0,30.703,3802,268,103,0.002872,-0.608041,nan,-0.57425,-0.450372,-0.667726,True
68,Q066,0.6839,4,3,accepted,1,1.0,27.674,4810,272,105,0.002973,-0.623168,nan,-0.611783,-0.438479,-0.696582,True
69,Q024,0.4928,4,3,accepted,1,1.0,46.681,3824,276,107,0.003963,-0.598046,nan,-0.607184,-0.424688,-0.725808,True
70,Q006,0.5221,4,2,accepted,1,1.0,6.796,3253,280,109,0.002418,-0.543224,nan,-0.52903,-0.413933,-0.699805,True
71,Q027,0.4729,4,3,accepted,1,1.0,25.293,3119,284,111,0.002885,-0.614137,nan,-0.620335,-0.467371,-0.718173,True
